channel,id
general,679428761438912525
🐸memes,795680393181265950
💬support,835168432520429578
💡ideas,689535474532221030
🤑airdrops,925120664157966427
🤝welcome,752271103497601125
💜┋praise,823570903219568700
🌐┋dao,689153434917929053
🌐dao,689153434917929053
💡┋ideas,689535474532221030
☝┋givethtrace-dev,707035677992288287
☝giveth-1-dev,707035677992288287
☝givethtrace-dev,707035677992288287
👋┋introduce-yourself,752271103497601125
💹┋giv-economy,759816279623467023
💹giv-economy,759816279623467023
👍┋governance,762764762164887562
👍governance,762764762164887562
📣-communications,790268394251354143
📣┋communications,790268394251354143
📣communications,790268394251354143
📣marketing,790268394251354143
Communications,790268394251354143
🐸┋memes,795680393181265950
🤝project-onboarding,808032358933856306
✨shtsnggls,821175885134168114
🐇┋test-reports,821759398820184116
🌈┋design,823555700735082516
🌈design,823555700735082516
❤praise,823570903219568700
💬┋support,835168432520429578
💬┋support-internal,835168432520429578
🐦-tweeeeeter,843526750512349186
🐦┋tweeeeeter,843526750512349186
👌┋all-dev,861692942645067777
👌all-dev,861692942645067777
🧙┋wg-stewards,892792397849821215
🧙wg-stewards,892792397849821215
communitas-headquarters,948655179589378058
🤖┋devops,955413352224555069
📌┋team-availability,978376716802228224
📅scheduling,979783352783609866
💬┋collab-chat,990973636603179079
